Data Table for Weekly Case Trends - The United States
Date generated: Sun Apr 23 2023 19:36:15 GMT-0700 (Mountain Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
United States,Apr 19 2023,94142,0
United States,Apr 12 2023,101598,0
United States,Apr  5 2023,123108,0
United States,Mar 29 2023,137737,5347
United States,Mar 22 2023,157358,18232
United States,Mar 15 2023,167404,347
United States,Mar  8 2023,187206,0
United States,Mar  1 2023,229210,0
United States,Feb 22 2023,237869,29950
United States,Feb 15 2023,263713,0
United States,Feb  8 2023,285740,0
United States,Feb  1 2023,282038,4507
United States,Jan 25 2023,307017,0
United States,Jan 18 2023,339268,0
United States,Jan 11 2023,432905,0
United States,Jan  4 2023,481397,0
United States,Dec 28 2022,402068,0
United States,Dec 21 2022,495695,21397
United States,Dec 14 2022,455277,0
United States,Dec  7 2022,472363,0
United States,Nov 30 2022,310773,0
United States,Nov 23 2022,309615,0
United States,Nov 16 2022,280812,0
United States,Nov  9 2022,290515,0
United States,Nov  2 2022,274337,0
United States,Oct 26 2022,261128,0
United States,Oct 19 2022,260984,0
United States,Oct 12 2022,265446,0
United States,Oct  5 2022,315105,0
United States,Sep 28 2022,340743,0
United States,Sep 21 2022,394114,0
United States,Sep 14 2022,468773,0
United States,Sep  7 2022,523746,0
United States,Aug 31 2022,616219,0
United States,Aug 24 2022,650743,0
United States,Aug 17 2022,700372,0
United States,Aug 10 2022,760501,0
United States,Aug  3 2022,833174,0
United States,Jul 27 2022,926255,0
United States,Jul 20 2022,897263,0
United States,Jul 13 2022,866203,0
United States,Jul  6 2022,774932,0
United States,Jun 29 2022,771228,0
United States,Jun 22 2022,683787,0
United States,Jun 15 2022,725927,0
United States,Jun  8 2022,760298,0
United States,Jun  1 2022,717069,0
United States,May 25 2022,762874,0
United States,May 18 2022,718434,0
United States,May 11 2022,590338,0
United States,May  4 2022,457460,0
United States,Apr 27 2022,370136,0
United States,Apr 20 2022,296479,0
United States,Apr 13 2022,222684,0
United States,Apr  6 2022,200335,0
United States,Mar 30 2022,194138,0
United States,Mar 23 2022,195993,0
United States,Mar 16 2022,213794,0
United States,Mar  9 2022,268023,0
United States,Mar  2 2022,369134,0
United States,Feb 23 2022,548229,0
United States,Feb 16 2022,901206,0
United States,Feb  9 2022,1486606,0
United States,Feb  2 2022,2717824,0
United States,Jan 26 2022,4410238,0
United States,Jan 19 2022,5504704,0
United States,Jan 12 2022,5476855,0
United States,Jan  5 2022,4240658,0
United States,Dec 29 2021,2124874,0
United States,Dec 22 2021,1164359,0
United States,Dec 15 2021,841044,0
United States,Dec  8 2021,858799,0
United States,Dec  1 2021,609390,0
United States,Nov 24 2021,664334,0
United States,Nov 17 2021,616281,0
United States,Nov 10 2021,537746,0
United States,Nov  3 2021,500729,0
United States,Oct 27 2021,503563,0
United States,Oct 20 2021,531016,0
United States,Oct 13 2021,617126,0
United States,Oct  6 2021,697681,0
United States,Sep 29 2021,797479,0
United States,Sep 22 2021,907242,0
United States,Sep 15 2021,1050155,0
United States,Sep  8 2021,1079360,0
United States,Sep  1 2021,1178136,0
United States,Aug 25 2021,1052903,0
United States,Aug 18 2021,991671,0
United States,Aug 11 2021,851604,0
United States,Aug  4 2021,681978,0
United States,Jul 28 2021,467881,0
United States,Jul 21 2021,290393,0
United States,Jul 14 2021,251416,0
United States,Jul  7 2021,133454,0
United States,Jun 30 2021,98306,0
United States,Jun 23 2021,84062,0
United States,Jun 16 2021,88332,0
United States,Jun  9 2021,101776,0
United States,Jun  2 2021,120731,0
United States,May 26 2021,164718,0
United States,May 19 2021,213271,0
United States,May 12 2021,260679,0
United States,May  5 2021,334650,0
United States,Apr 28 2021,373342,0
United States,Apr 21 2021,450320,0
United States,Apr 14 2021,493585,0
United States,Apr  7 2021,457342,0
United States,Mar 31 2021,448231,0
United States,Mar 24 2021,402300,0
United States,Mar 17 2021,378101,0
United States,Mar 10 2021,391341,0
United States,Mar  3 2021,446938,0
United States,Feb 24 2021,466536,0
United States,Feb 17 2021,543966,0
United States,Feb 10 2021,732706,0
United States,Feb  3 2021,923546,0
United States,Jan 27 2021,1131903,0
United States,Jan 20 2021,1381077,0
United States,Jan 13 2021,1720018,0
United States,Jan  6 2021,1592219,0
United States,Dec 30 2020,1310255,0
